conv,country,drop_kicks,opposition,penalties,player,points,position,result,tries
3,Urug,0,Russia,5,F Berchesi Pisano,21,FH,won,0
8,JPN,0,Korea,0,A Goromaru,21,FB,won,1
3,Scot,0,Italy,5,GD Laidlaw,21,SH,won,0
5,Wales,0,Italy,2,DR Biggar,21,FH,won,1
0,Fra,0,England,7,M Machenaud,21,SH,lost,0
0,NZ,0,Lions,7,BJ Barrett,21,FH,lost,0
0,Arg,0,Chile,0,FJ Merello,20,W,won,4
4,Aust,0,France,4,MJ Giteau,20,FH,won,0
0,SA,0,Australia,0,JL Nokwe,20,W,won,4
1,Aust,0,England,6,MJ Giteau,20,FH,won,0
3,SA,0,England,3,R Pienaar,20,FH,won,1
6,Georg,0,Spain,1,L Malaguradze,20,FH,won,1
3,Urug,0,Paraguay,3,M Arocena,20,FH,won,1
0,JPN,0,Korea,0,H Onozawa,20,W,won,4
0,Arg,0,Chile,0,JJ Imhoff,20,W,won,4
1,Lions,1,South Africa,5,SM Jones,20,FH,lost,0
4,Fiji,0,Japan,4,S Baikeinuku,20,C,won,0
0,Samoa,0,PNG,0,E Lauina,20,W,won,4
2,Aust,0,South Africa,2,MJ Giteau,20,FH,lost,2
3,Russ,0,Namibia,3,A Yanyushkin,20,SH,won,1
2,Aust,0,England,2,MJ Giteau,20,C,lost,2
10,JPN,0,Russia,0,A Tanabe,20,FB,won,0
7,Can,0,Spain,2,J Pritchard,20,FB,won,0
1,Wales,0,New Zealand,6,SM Jones,20,FH,lost,0
0,Eng,0,Italy,0,CJ Ashton,20,W,won,4
1,Spain,0,Portugal,6,ME Heredia Federico,20,FH,won,0
0,JPN,0,Kazakhstan,0,T Kizu,20,H,won,4
0,JPN,0,UAE,0,T Usuzuki,20,W,won,4
0,Urug,0,Paraguay,0,P Bueno,20,W,won,4
10,Arg,0,Uruguay,0,B Madero,20,FH,won,0
0,Tonga,0,USA,0,VV Iongi,20,W,won,4
4,Tonga,0,Fiji,4,KS Morath,20,FH,won,0
0,Fiji,0,Namibia,0,V Goneva,20,W,won,4
6,SA,0,Namibia,1,M Steyn,20,FH,won,1
0,NZ,0,Canada,0,ZR Guildford,20,W,won,4
1,Eng,0,Ireland,6,OA Farrell,20,FH,won,0
3,Wales,0,Barbarians,3,JW Hook,20,C,won,1
1,Italy,0,Canada,6,KS Burton,20,FH,won,0
1,Aust,0,Argentina,6,MJ Harris,20,FB,won,0
4,Germ,0,Poland,4,R Parkinson,20,FH,lost,0
0,Samoa,0,Canada,0,RV Lilomaiava,20,W,won,4
1,Spain,0,Namibia,6,JM Carrion Llorens,20,W,won,0
1,Rom,0,Spain,6,FA Vlaicu,20,C,won,0
0,Arg,0,Chile,0,D Isaack,20,(FB),won,4
5,Arg,0,Brazil,0,SA Poet,20,FH,won,2
0,JPN,0,UAE,0,Y Imamura,20,W,won,4
3,Rom,0,Argentina A,3,FA Vlaicu,20,C,won,1
4,Namib,0,Tunisia,4,TAW Kotze,20,FH,won,0
3,NZ,0,Australia,3,AW Cruden,20,FH,won,1
4,Wales,0,Argentina,4,SL Halfpenny,20,FB,won,0
1,JPN,0,Spain,6,A Goromaru,20,FB,won,0
3,Aust,0,Wales,3,CP Leali'ifano,20,C,won,1
0,JPN,0,Korea,0,A Yamada,20,W,won,4
0,Arg,0,Uruguay,0,M Montero,20,(W),won,4
6,Fiji,0,Tonga,1,RNDSN Nadolo,20,C,won,1
0,Namib,0,Madagascar,0,R Bothma,20,N8,won,4
1,Rom,0,Spain,6,FA Vlaicu,20,C,won,0
1,NZ,0,Samoa,6,DW Carter,20,FH,won,0
10,Namib,0,Zimbabwe,0,TAW Kotze,20,FH,won,0
4,Scot,0,Japan,4,GD Laidlaw,20,SH,won,0
1,Eng,1,Wales,5,OA Farrell,20,FH,lost,0
0,Chile,0,Uruguay,5,M Nordenflycht Torrico,20,C,lost,1
1,Eng,0,Wales,6,OA Farrell,20,C,won,0
1,Arg,0,Italy,6,FN Sanchez,20,FH,won,0
3,Aust,0,England,3,BT Foley,20,FH,lost,1
1,USA,0,Russia,6,AL MacGinty,20,FH,won,0
1,Samoa,1,Canada,5,D Leuila,20,FH,won,0
4,Fra,0,Italy,4,C Lopez,20,FH,won,0
4,Arg,0,Georgia,4,FN Sanchez,20,FH,won,0
3,Tonga,0,Samoa,3,S Takulua,20,SH,won,1
0,Namib,0,Senegal,0,R Kitshoff,20,F,won,4
5,NZ,0,Australia,0,BJ Barrett,20,FH,won,2
4,Aust,0,France,2,MJ Giteau,19,FH,won,1
2,NZ,0,Australia,5,DW Carter,19,FH,won,0
7,NZ,0,Samoa,0,SR Donald,19,(FH),won,1
4,Eng,0,Pacific Is,2,DJ Cipriani,19,FH,won,1
2,NZ,0,Wales,5,DW Carter,19,FH,won,0
2,NZ,0,South Africa,5,DW Carter,19,FH,lost,0
1,Urug,0,USA,4,JJ Etcheverry Cavanna,19,FB,lost,1
5,Rom,0,Tunisia,3,DM Dumbrava,19,FH,won,0
4,NZ,0,Australia,2,DW Carter,19,FH,won,1
2,SA,0,Wales,5,M Steyn,19,FH,won,0
2,Fra,0,Fiji,5,D Yachvili,19,SH,won,0
2,Urug,0,Brazil,5,S Arocena,19,W,won,0
7,JPN,0,Sri Lanka,0,A Tanabe,19,(FB),won,1
5,Tonga,0,USA,3,KS Morath,19,FH,won,0
2,Namib,0,Portugal,5,TAW Kotze,19,FH,won,0
2,Tonga,0,Samoa,5,KS Morath,19,FH,won,0
4,NZ,0,Fiji,2,CR Slade,19,FH,won,1
4,Aust,0,South Africa,2,JD O'Connor,19,W,won,1
5,Fiji,0,Namibia,3,S Baikeinuku,19,C,won,0
1,Urug,0,Chile,4,M Arocena,19,FH,won,1
5,Fra,0,Argentina,3,F Michalak,19,FH,won,0
2,JPN,0,Romania,5,A Goromaru,19,FB,won,0
3,Ire,0,Argentina,1,JJ Sexton,19,FH,won,2
3,USA,0,Romania,1,CT Wyles,19,FB,won,2
1,Fra,0,Samoa,4,F Michalak,19,FH,won,1
7,JPN,0,Korea,0,A Goromaru,19,FB,won,1
4,Eng,0,Argentina,2,FS Burns,19,FH,won,1
2,Italy,0,Scotland,5,A di Bernardo,19,FH,lost,0
2,Aust,0,New Zealand,5,CP Leali'ifano,19,C,lost,0
2,Eng,0,Wales,5,OA Farrell,19,FH,won,0
3,Urug,0,Paraguay,1,F Favaro Garcia,19,W,won,2
2,JPN,0,Canada,5,A Goromaru,19,FB,won,0
2,Rom,1,Uruguay,4,FA Vlaicu,19,C,won,0
5,NZ,0,Australia,3,AW Cruden,19,FH,won,0
3,SA,0,New Zealand,1,H Pollard,19,FH,won,2
5,Ire,0,Georgia,3,IL Madigan,19,FH,won,0
2,Fra,0,Italy,5,F Michalak,19,FH,won,0
2,SA,1,Scotland,4,H Pollard,19,FH,won,0
2,Scot,0,Australia,5,GD Laidlaw,19,SH,lost,0
2,NZ,1,Australia,4,DW Carter,19,FH,won,0
2,Braz,0,Uruguay,5,DN Harvey,19,FH,lost,0
7,USA,0,Chile,0,JP Eloff,19,FH,won,1
2,Urug,0,USA,5,AL Ormaechea,19,SH,won,0
5,Rom,0,Germany,3,FA Vlaicu,19,C,won,0
7,JPN,0,Korea,0,R Yamanaka,19,FH,won,1
8,JPN,0,Hong Kong,1,R Nakamura,19,FH,won,0
4,Kenya,0,Hong Kong,2,D Mukidza Kinyangi,19,W,won,1
4,Eng,0,South Africa,2,OA Farrell,19,C,won,1
2,Scot,0,Wales,5,FA Russell,19,FH,won,0
1,Belg,0,Germany,4,A Williams,19,FH,lost,1
4,Kenya,0,Hong Kong,2,D Mukidza Kinyangi,19,W,lost,1
4,SA,0,Argentina,2,ET Jantjies,19,FH,won,1
3,Wales,0,Italy,4,SM Jones,18,FH,won,0
3,Eng,0,Ireland,4,DJ Cipriani,18,FH,won,0
0,Urug,0,Georgia,6,M Arocena,18,FH,lost,0
9,SA,0,Argentina,0,AD James,18,FH,won,0
5,Urug,0,Chile,1,JJ Etcheverry Cavanna,18,FB,won,1
9,Samoa,0,PNG,0,TJ Esau,18,FB,won,0
0,Aust,0,New Zealand,6,MJ Giteau,18,FH,lost,0
3,NZ,0,Australia,4,DW Carter,18,FH,won,0
3,Wales,0,Italy,4,SM Jones,18,FH,won,0
0,Scot,1,Ireland,5,DA Parks,18,FH,won,0
6,Rom,0,Spain,2,FA Vlaicu,18,FB,won,0
0,Rom,1,Argentina A,5,DM Dumbrava,18,FH,won,0
3,NZ,0,Ireland,4,DW Carter,18,FH,won,0
1,Can,0,Portugal,2,J Pritchard,18,FB,won,2
3,Rom,0,Russia,4,FA Vlaicu,18,FH,won,0
0,Urug,1,Chile,5,S Arocena,18,W,lost,0
2,Aust,0,Samoa,3,MJ Giteau,18,FH,lost,1
0,SA,1,New Zealand,5,M Steyn,18,FH,won,0
9,Aust,0,Russia,0,JD O'Connor,18,FB,won,0
9,Arg,0,Brazil,0,S Ambrosio,18,FH,won,0
0,Tonga,0,Samoa,6,KS Morath,18,FH,lost,0
0,NZ,0,Australia,6,DW Carter,18,FH,draw,0
3,NZ,0,Wales,4,AW Cruden,18,FH,won,0
3,Eng,0,Scotland,4,OA Farrell,18,FH,won,0
0,Scot,0,Wales,6,GD Laidlaw,18,SH,lost,0
0,Eng,0,Italy,6,TGAL Flood,18,FH,won,0
3,Chile,0,Brazil,4,J Valderrama,18,FB,won,0
3,Fiji,0,,4,S Baikeinuku,18,C,won,0
3,SA,0,Australia,4,M Steyn,18,FH,won,0
3,Aust,1,New Zealand,3,QS Cooper,18,FH,lost,0
9,Port,0,Brazil,0,PMDC Leal,18,FB,won,0
2,Georg,0,USA,3,M Kvirikashvili,18,FB,lost,1
2,Russ,0,Spain,3,Y Kushnarev,18,FH,won,1
0,Wales,0,England,6,SL Halfpenny,18,FB,lost,0
3,JPN,0,Samoa,4,A Goromaru,18,FB,won,0
0,Samoa,0,Fiji,6,T Pisi,18,FH,won,0
0,SA,0,Australia,6,M Steyn,18,FH,lost,0
3,Aust,1,Wales,3,BT Foley,18,FH,won,0
0,JPN,0,Romania,6,A Goromaru,18,FB,won,0
0,Rom,0,Canada,6,FA Vlaicu,18,FH,won,0
3,Georg,0,Russia,4,M Kvirikashvili,18,FB,won,0
3,Ire,0,Scotland,4,JJ Sexton,18,FH,won,0
0,USA,0,Japan,6,AL MacGinty,18,FH,won,0
3,Tonga,0,USA,4,KS Morath,18,FH,won,0
0,Urug,0,Argentina XV,6,F Berchesi Pisano,18,FH,won,0
0,SA,1,Wales,5,H Pollard,18,FH,won,0
5,Chile,0,Paraguay,1,M Nordenflycht Torrico,18,C,won,1
9,Arg,0,Chile,0,J Diaz Bonilla,18,FH,won,0
2,Eng,0,Australia,3,OA Farrell,18,C,won,1
0,Can,0,Italy,6,GA McRorie,18,SH,lost,0
2,Aust,0,South Africa,3,BT Foley,18,C,won,1
0,SA,2,Australia,4,M Steyn,18,FH,won,0
2,Port,0,Switzerland,3,NMRPS Guedes,18,FB,won,1
5,Fiji,0,Japan,1,RNDSN Nadolo,18,W,won,1
3,Wales,0,Italy,4,SL Halfpenny,18,FB,won,0
9,Ire,0,Italy,0,DPLJ Jackson,18,FH,won,0
2,Can,1,Brazil,2,GA McRorie,18,SH,lost,1
4,Port,0,Moldova,0,NM Penha e Costa,18,FH,won,2
0,Wales,0,France,6,SL Halfpenny,18,FB,lost,0
3,JPN,0,Romania,4,J Ogura,18,FH,won,0
9,Aust,0,Japan,0,R Hodge,18,FH,won,0
4,SA,0,Wales,3,AD James,17,FH,won,0
1,Aust,0,Italy,5,MJ Giteau,17,(FH),won,0
6,Arg,0,Chile,0,BM Urdapilleta,17,FH,won,1
1,Arg,0,Italy,5,F Contepomi,17,C,won,0
4,Fra,0,Pacific Is,3,D Skrela,17,FH,won,0
1,Spain,1,Germany,4,C Riu,17,FH,won,0
1,NZ,0,England,5,DW Carter,17,FH,won,0
1,Fra,0,Scotland,5,L Beauxis,17,FH,won,0
1,Ire,1,Scotland,4,RJR O'Gara,17,FH,won,0
1,Port,0,Romania,5,PPDC Cabral,17,FH,won,0
4,Can,0,Georgia,3,J Pritchard,17,FB,won,0
1,Eng,0,Argentina,5,AJ Goode,17,FH,lost,0
2,Russ,0,Uruguay,1,A Yanyushkin,17,FH,won,2
1,NZ,0,Australia,5,SR Donald,17,FH,won,0
3,Wales,0,Argentina,2,SM Jones,17,FH,won,1
1,Namib,0,Tunisia,5,E Wessels,17,FH,won,0
1,Rom,1,Georgia,4,DM Dumbrava,17,FH,won,0
1,Georg,0,Scotland A,5,I Kiasashvili,17,FB,won,0
7,NZ,0,Ireland,1,DW Carter,17,FH,won,0
1,Rom,0,Italy A,5,DM Dumbrava,17,FH,won,0
1,NZ,0,Wales,5,DW Carter,17,FH,won,0
1,SA,0,New Zealand,5,M Steyn,17,FH,lost,0
1,Arg,0,Italy,5,F Contepomi,17,FH,won,0
1,Ire,0,Argentina,5,JJ Sexton,17,FH,won,0
1,Italy,0,France,5,M Bergamasco,17,W,won,0
1,JPN,0,UAE,0,RT Nicholas,17,C,won,3
6,Arg,0,Chile,0,S Gonzalez Iglesias,17,FH,won,1
3,Tonga,0,Japan,2,KS Morath,17,FH,lost,1
1,Tonga,0,Fiji,5,KS Morath,17,FH,won,0
4,Fra,0,Japan,3,D Yachvili,17,SH,won,0
1,Georg,0,Romania,5,M Kvirikashvili,17,FH,won,0
4,Ire,0,Italy,3,JJ Sexton,17,FH,won,0
6,JPN,0,Hong Kong,0,A Goromaru,17,FB,won,1
4,Spain,0,Russia,3,M Peluchon Carrero,17,FB,lost,0
4,NZ,0,Ireland,3,DW Carter,17,FH,won,0
0,SA,0,England,4,M Steyn,17,FH,won,1
1,NZ,1,Ireland,4,DW Carter,17,FH,won,0
1,Aust,0,Wales,5,BS Barnes,17,FH,won,0
3,Eng,0,South Africa,2,TGAL Flood,17,FH,lost,1
1,NZ,0,Australia,5,DW Carter,17,FH,won,0
1,NZ,0,Australia,5,DW Carter,17,FH,won,0
4,Samoa,0,Canada,3,JS So'oialo,17,FB,won,0
1,Namib,1,Zimbabwe,4,TAW Kotze,17,FH,won,0
4,Eng,0,Fiji,3,TGAL Flood,17,FH,won,0
1,JPN,0,Georgia,5,A Goromaru,17,FB,won,0
4,NZ,0,Italy,3,AW Cruden,17,FH,won,0
1,Arg,1,France,4,FN Sanchez,17,FH,lost,0
1,Eng,1,New Zealand,4,OA Farrell,17,FH,won,0
4,Georg,0,Spain,3,M Kvirikashvili,17,FH,won,0
3,Samoa,0,Scotland,2,JS So'oialo,17,FB,won,1
4,SA,0,Italy,3,M Steyn,17,FH,won,0
3,Samoa,0,Italy,2,PB Williams,17,C,won,1
3,SA,0,Samoa,2,M Steyn,17,FH,won,1
1,SA,0,Argentina,5,M Steyn,17,FH,won,0
1,Eng,0,New Zealand,5,OA Farrell,17,FH,lost,0
3,Aust,0,Ireland,2,QS Cooper,17,FH,won,1
1,Wales,0,France,5,SL Halfpenny,17,FB,won,0
2,Ire,0,Italy,1,JJ Sexton,17,FH,won,2
2,Ire,0,France,1,JJ Sexton,17,FH,won,2
1,Urug,0,USA,5,F Berchesi Pisano,17,FH,draw,0
7,JPN,0,Korea,1,A Goromaru,17,FB,won,0
4,JPN,0,USA,3,A Goromaru,17,FB,won,0
1,Aust,0,Argentina,5,BT Foley,17,FH,won,0
1,Russ,0,Uruguay,5,Y Kushnarev,17,FH,won,0
1,Russ,0,Uruguay,5,Y Kushnarev,17,FH,lost,0
4,Rom,0,Portugal,3,VN Calafeteanu,17,SH,won,0
3,Fiji,0,Japan,2,JL Matavesi,17,FH,won,1
1,Fra,0,England,5,F Michalak,17,FH,won,0
6,Aust,0,USA,0,BT Foley,17,FH,won,1
6,Fiji,0,Uruguay,0,RNDSN Nadolo,17,W,won,1
3,Italy,0,Romania,2,T Allan,17,FH,won,1
7,NZ,0,France,1,DW Carter,17,FH,won,0
3,Eng,0,Italy,2,OA Farrell,17,C,won,1
3,NZ,0,Australia,2,BJ Barrett,17,FH,won,1
6,NZ,0,Argentina,0,BJ Barrett,17,FH,won,1
1,Arg,0,New Zealand,5,FN Sanchez,17,FH,lost,0
1,Eng,0,Argentina,5,OA Farrell,17,C,won,0
1,Wales,0,South Africa,5,SL Halfpenny,17,FB,won,0
1,Fra,0,Scotland,5,C Lopez,17,FH,won,0
7,USA,0,Chile,1,B Cima,17,FH,won,0
3,Spain,0,Germany,2,BD Linklater,17,FB,won,1
7,Braz,0,Paraguay,1,MR Duque,17,C,won,0
3,Urug,0,Chile,2,F Berchesi Pisano,17,FH,won,1
1,Fiji,0,Scotland,5,BTT Volavola,17,FH,won,0
4,SA,0,Argentina,3,ET Jantjies,17,FH,won,0
7,NZ,0,South Africa,1,BJ Barrett,17,FH,won,0
3,Aust,0,Argentina,2,BT Foley,17,FH,won,1
2,Wales,0,England,4,JW Hook,16,FH,won,0
2,Port,0,Russia,4,PPDC Cabral,16,FH,lost,0
2,Russ,0,Spain,4,Y Kushnarev,16,(FH),won,0
8,JPN,0,Arabian Gulf,0,JA Arlidge,16,FH,won,0
2,Scot,0,Argentina,4,CD Paterson,16,W,won,0
1,Can,0,Portugal,3,J Pritchard,16,FB,won,1
2,JPN,0,USA,4,RT Nicholas,16,C,won,0
4,Eng,0,Italy,1,AJ Goode,16,FH,won,1
3,JPN,0,Korea,0,SJ Webb,16,FH,won,2
2,USA,0,Georgia,4,MMM Hercus,16,FH,won,0
4,Can,0,USA,1,J Pritchard,16,FB,won,1
1,Arg,0,Wales,3,M Rodriguez Gurruchage,16,C,lost,1
5,Ire,0,Fiji,2,JJ Sexton,16,FH,won,0
2,Ire,0,Italy,4,RJR O'Gara,16,FH,won,0
2,Wales,0,Scotland,4,SM Jones,16,FH,won,0
5,Port,0,Germany,2,PPDC Cabral,16,FH,won,0
5,Fra,0,Italy,2,MRJ Parra,16,SH,won,0
2,Urug,0,Chile,4,E Caffera,16,FH,won,0
2,SA,0,Wales,4,R Pienaar,16,FH,won,0
2,JPN,1,Samoa,3,JA Arlidge,16,FH,won,0
5,Fiji,0,Tonga,2,RT Rawaqa Maravunawasawasa,16,FB,won,0
2,JPN,0,Tonga,4,JA Arlidge,16,FH,won,0
2,NZ,0,England,4,DW Carter,16,FH,won,0
2,Eng,0,Samoa,4,TGAL Flood,16,FH,won,0
4,Georg,0,Spain,1,M Kvirikashvili,16,FH,won,1
1,Fra,0,Italy,3,MRJ Parra,16,SH,lost,1
2,Tonga,0,Japan,4,KS Morath,16,FH,won,0
2,Ire,0,Italy,4,RJR O'Gara,16,FH,won,0
5,Spain,0,Ukraine,2,M Peluchon Carrero,16,FB,won,0
5,Georg,0,Russia,2,M Kvirikashvili,16,FH,won,0
2,Port,0,Ukraine,4,Y Ricardo,16,FH,lost,0
2,SA,1,England,3,M Steyn,16,FH,won,0
2,USA,0,Georgia,4,CT Wyles,16,FB,won,0
1,Samoa,1,Scotland,2,T Pisi,16,FH,lost,1
2,Aust,0,South Africa,4,BS Barnes,16,C,won,0
2,Wales,0,Italy,4,SL Halfpenny,16,FB,won,0
2,Arg,0,England,4,MJ Bustos Moyano,16,FB,lost,0
2,Rom,0,Emerg Italy,4,FA Vlaicu,16,C,won,0
1,JPN,0,Canada,3,A Goromaru,16,FB,won,1
2,Fra,0,Tonga,4,MRJ Parra,16,SH,won,0
